,,,,ACTION,1,2,3,4,5,6
,A,최종관리자,,,,,,,,
,1,도입된 전체 장비를 한눈에 파악하길 원함,,서비스를 접속함,자원맵,서버선택시 서버별 GPU자원이 보여야 할 것,GPU별 상세 값,,,
,," - 장비의 범위는 서버, GPU",,,"- 서버 전체(선택 전체 / 묶음단위)
 > 커스터마이징의 영역
- 서버별 스테이터스
 > 온도/네트워크
- 서버별 보유 GPU
- 서버 묶음단위일 경우
 > GPU별 간단 헬스(빨강, 초록, 회색)","- 서버에 있는 GPU 전체 갯수
- GPU 스테이터스
 > GPU명 및 일련번호
 > 사용률(SM 활동률) - 추가논의
 > VRAM 사용률
 > 온도/전력량
- 경우의 수에 따른 GPU 상태
- 서버별 로그
- GPU별 할당자 정보
 > 할당된 이용자
 > 할당한 서비스 명
- 콘솔접속환경(버튼 등)","- GPU 스테이터스
 > GPU명 및 일련번호
 > 사용률
 > VRAM 사용률
 > 온도 전력량
- GPU별 로그
- 할당VM 콘솔접속환경
- 서비스 인용량
 > 토큰 사용량(내 서비스와의 사용내역)
 > 토큰 사용량(외부 이용자에 따른 사용내역)
 > 연결된 갯수","스테이터스 값 클릭시
통계페이지
",,
,,,,,,,"콘솔버튼 클릭시 콘솔 창 호출(서버)
 - 터미널 화면 호출","콘솔버튼 클릭시 콘솔 창 호출(도커)
 - 터미널 화면 호출",,
,,,,,,"경우의수1
 - 2개이상의 GPU를 클러스터링 해서 쓰는 유저",GPU간 통신 상태,,,
,,,,,,"경우의수2
 - 1개의 GPU를 슬라이스 해서 여럿이 쓰는 경우","- GPU 슬라이스(MIG)현황
 > 슬라이스별 스테이터스
   . 사용량
   . VRAM 사용률",,,
,,,,,,,,,,
,,,,,,,,,,
,2,사용자가 GPU할당을 신청함,,메일로 접수건이 옴,"- GPU 할당 승인신청 목록
- 기 승인/반려 목록","- 신청 사유 및 신청 스펙
 > GPU 할당 용량
 > 사용할 LLM 및 부가 서비스
 > 운영환경 세팅 요청(템플릿 내)
 > 신청 사유 및 할당승인 공문(결재문서)
- 승인/반려
 > 승인시 자원맵 호출
  . 관리자가 자원 중 해당 서버 선택시 자동 할당
 > 반려시 반려 사유 및 메시지 작성",,,,
,,,,글로벌네비게이션에서 알림창이 떠야 함.,,,,,,
,,,,,,,,,,
,3,GPU자원 추가 할당/회수/변경,,사용자가 신청함,메일로 접수건이 옴,"- GPU 변경 승인신청 목록
- 기 승인/반려 목록","- 변경 사유 및 신청 스펙
 > GPU 할당 용량
 > 사용할 LLM 및 부가 서비스
 > 신청 사유 및 할당승인 공문(결재문서)
 > 서버별 자원 현황
- 승인시 이전/변경/확장/회수 선택 UI 필요
  > 이전/변경/확장/회수에 따라 서버 재할당 및 회수 UI 필요 
     (난이도 미침)
- 반려시 반려 사유 및 메시지 작성",,,
,,,,,글로벌네비게이션에서 알림창이 떠야 함.,,,,,
,,,,관리자가 모니터링시 발견,자원맵에서 직접 서칭,- GPU자원 추가 할당/회수/변경 신청서 작성,"- 변경 사유 및 신청 스펙
 > GPU 할당 용량
 > 사용할 모델 및 부가 서비스
 > 신청 사유 및 할당승인 공문(결재문서)
 > 서버별 자원 현황
- 승인시 이전/변경/확장/회수 선택 UI 필요
  > 이전/변경/확장/회수에 따라 서버 재할당 및 회수 UI 필요 
     (난이도 미침)",,,
,4,에러 발생,,알럿 발생,이벤트 목록,문제발생 GPU상세 페이지로 이동,,,,
,,,,알럿 발생시 메일 수신,이벤트 목록,,,,,
,,,,,,,,,,
,,,,,,,,,,
,5,게시판,,사용자/관리자가 신청한 문의 내역 확인,내역 확인/답글 작성,,,,,
,,,,공지사항,,,,,,
,,,,,,,,,,
,6,서버가 증설되어 추가 에이전트를 배포해야 함,,이건 오프라인 처리(우리의 유지보수 꺼리임),,,,,,
,,,,,,,,,,
,,,,,,,,,,
,7,GPU배포용 이미지 관리 필요,,이건 오프라인 처리(우리의 유지보수 꺼리임),,,,,,
,,,,,,,,,,
,,,,,,,,,,
,8,상시 관제용 모니터링 화면,,있어빌리티 상시 관제용 모니터링 화면(관제실 모니터),,,,,,
,,,,개인정보 접근 로그,,,,,,
,,,,관리자 등 활동 단위에 대한 추적 로그,,,,,,
,,,,,,,,,,
,9,유사서비스 벤치마킹 후 진행,,,,,,,,
,,,,,,,,,,
,B,실무관리자,,,,,,,,
,1,할당이 완료되어 내가 관리하는 GPU가 생김,,실무관리자가 된 후 첫 로그인시 바로 대시보드,"- GPU 스테이터스
 > GPU명 및 일련번호
 > 사용률(SM 활동률) - 추가논의
 > VRAM 사용률
 > 온도/전력량
- 네트워크
- 나의 서비스 인용량
 > 토큰 사용량(내 서비스와의 사용내역)
 > 토큰 사용량(외부 이용자에 따른 사용내역)
 > 연결된 갯수
- 로그
- 콘솔(버튼)
- 쥬피터(버튼) (공유 - 개발업체 공유용 URL(쥬피터))
","스테이터스 값 클릭시
통계페이지
",,,,
,,,,"GNB에 여러개인경우 다른 서버 보기, 신청목록 이동 제공",,,,,,
,,,,,,,,,,
,2,서비스가 정상적으로 작동되지 않아 서버 확인 요청 받음,,알럿 발생,이벤트 목록,문제발생 GPU상세 페이지로 이동,,,,
,,,,(오프라인)외부 접수,,,,,,
,,,,,,,,,,
,3,GPU 추가/변경/회수 요청,,기술지원 메뉴 필요,- GPU자원 추가 할당/회수/변경 신청서 작성,"- 변경 사유 및 신청 스펙
 > GPU 할당 용량
 > 사용할 모델 및 부가 서비스
 > 신청 사유 및 할당승인 공문(결재문서)
 > 서버별 자원 현황
- 승인시 이전/변경/확장/회수 선택 UI 필요
  > 이전/변경/확장/회수에 따라 서버 재할당 및 회수 UI 필요 
     (난이도 미침)",,,,
,,,,게시판,최고관리자에 문의,문의작성/답변확인,,,,
,,,,,공지사항,,,,,
,,,,,,,,,,
,C,사용자,,,,,,,,
,1,새로운 AI개발을 위해 GPU자원 할당을 요청함,,소개페이지 / 매뉴얼페이지,"신청목록
 - 이미 신청했던 목록 및 그 결과
 - 신청","신청상세
 - GPU 할당 요청 용량 선택(가이드된 목록)
  > 장 단위, 슬라이스 단위
 - AI 모델 선택(다중선택)
  > 사전 등록된 모델 선택
  > 운용 환경(우분투,파이썬 등)
  > 부가서비스(주피터 등)
- 서비스 명
- 사용목적(관련 근거/상위사업,과제정보 등)",,,,
,,,,,,반려시 반려 상세,,,,
,,,,,,메일로 승인/반려 여부 수신,,,,
,,,,,,,,,,
,2,게시판,,문의사항/공지사항,,,,,,
