,,,,ACTION,1,2,3,4,5
,A,최종관리자,,,,,,,
,1,동작 중인 AI 서비스 목록 확인,,마켓 플레이스 메인 접속,"전체 서비스 목록
 - 서비스 종류 / API여부 등 태깅","각 서비스별 상세
 - 서비스 URL
 - 테스트 URL
 - 사용된 모델
 - 서비스 소개
 - 매뉴얼(있는경우)",,,
,,,,,,"자원 활용 상세
 - 해당 서비스에 할당된 자원 정보
 - 서비스 토큰 사용량 등",,,
,,,,,,,,,
,2,게시 승인/반려 관리,,메일로 알림이 발행됨,사용자 신청 및 승인/반려 목록,"게시 신청 상세
 - 게시 서비스 명
 - 게시 서비스 URL
 - 데모 서비스 URL
 - 서비스 메타 데이터",,,
,,,,접속 화면에서 알림 확인,,"반려시
 - 반려 사유",,,
,,,,,,,,,
,3,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,B,실무관리자,,,,,,,
,1,동작 중인 AI 서비스 목록 확인,,마켓 플레이스 메인 접속,"전체 서비스 목록
 - 서비스 종류 / API여부 등 태깅","각 서비스별 상세
 - 서비스 URL
 - 테스트 URL
 - 사용된 모델
 - 서비스 소개
 - 매뉴얼(있는경우)",,,
,,,,,,,,,
,2,서비스 API 사용 신청,,서비스 상세에서 API제공여부 확인,"API 서비스 신청
 - 연결 서비스 명
 - 연결 URL
 - 기타 메타정보",,,,
,,,,,,,,,
,,,,,,,,,
,3,API 사용신청 승인/반려,,메일로 알림이 발행됨,사용자 신청 및 승인/반려 목록,"API 신청 상세
 - 신청 서비스 명
 - 신청 모델
 - 대상 서비스 명
 - 대상 서비스 URL
 - 승인/반려 여부 확인","승인시
 - API key 발행",,
,,,,접속 화면에서 알림 확인,,,"반려시
 - 반려 사유",,
,,,,,,,,,
,,,,,,,,,
,C,사용자,,,,,,,
,1,동작 중인 AI 서비스 목록 확인,,마켓 플레이스 메인 접속,"전체 서비스 목록
 - 서비스 종류 / API여부 등 태깅","각 서비스별 상세
 - 서비스 URL
 - 테스트 URL
 - 사용된 모델
 - 서비스 소개
 - 매뉴얼(있는경우)",,,
,,,,,,,,,
,2,서비스 API 사용 신청,,서비스 상세에서 API제공여부 확인,"API 서비스 신청
 - 연결 서비스 명
 - 연결 URL
 - 기타 메타정보",,,,
