,,,,ACTION,1,2,3,4,5
,A,최종관리자,,,,,,,
,1,"등록된 모델과 부가서비스를 확인
(허깅페이스 참고)",,서비스를 접속함.,"등록된 전체 모델 및 부가서비스 목록
(허깅페이스 참고)",모델 상세 조회,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,2,신규 모델을 도입,,"전체 모델 및 부가서비스 목록에서
등록버튼 클릭","모델 신규 등록
 - 모델 업로드
  > 모델 스캐닝(보안검토 등)
 - 모델 관련 메타데이터 등록
 - 모델 활용을 위한 세팅(부가서비스 등)",모델 등록 완료,,,
,,,,,,,,,
,,,,,,,,,
,3,신규 모델의 도입이 요청되거나 기 할당 인원이 모델 추가 할당 요청함,,사용자가 신청함,메일로 접수건이 옴,"- 모델 추가/할당 요청 목록
- 기 승인/반려 목록",,,
,,,,,글로벌네비게이션에서 알림창이 떠야 함.,,,,
,,,,,,,,,
,,,,,,,,,
,B,실무관리자,,,,,,,
,1,모델을 추가로 설치 요청,,마이 스페이스 접속,"모델 추가 신청
 - 신청 모델
 - 신청 사유
 - 추가 부가서비스",,,,
,,,,,"모델 추가 할당 신청(GPU변경과 겹침)
 - 신청 모델
 - 신청 사유
 - 추가 부가서비스",,,,
,,,,,,,,,
,2,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,3,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,C,사용자,,,,,,,
,1,사용 가능한 AI 모델 확인,,소개페이지 / 매뉴얼페이지,,,,,
,,,,,,,,,
,2,게시판,,문의사항/공지사항,,,,,
